Year,Time,hdensity
2015-2016,2022-10-01,1.08
2015-2016,2022-11-15,0.91044
2015-2016,2022-12-15,0.7146954
2015-2016,2022-01-15,0.547456676
2015-2016,2022-02-15,0.383219673
2015-2016,2022-03-15,0.300061004
2015-2016,2022-04-15,0.247250268
2016-2017,2022-10-01,1.52
2016-2017,2022-11-15,1.3756
2016-2017,2022-12-15,1.1775136
2016-2017,2022-01-15,1.058584726
2016-2017,2022-02-15,0.900855602
2016-2017,2022-03-15,0.799959775
2016-2017,2022-04-15,0.615969027
2017-2018,2022-10-01,1.29
2017-2018,2022-11-15,1.13391
2017-2018,2022-12-15,1.01484945
2017-2018,2022-01-15,0.935691193
2017-2018,2022-02-15,0.702704086
2017-2018,2022-03-15,0.524217248
2017-2018,2022-04-15,0.436672968
2018-2019,2022-10-01,0.76
2018-2019,2022-11-15,0.61408
2018-2019,2022-12-15,0.53547776
2018-2019,2022-01-15,0.393040676
2018-2019,2022-02-15,0.295959629
2018-2019,2022-03-15,0.227888914
2018-2019,2022-04-15,0.157243351
2019-2020,2022-10-01,0.37
2019-2020,2022-11-15,0.32042
2019-2020,2022-12-15,0.32042
2019-2020,2022-01-15,0.25761768
2019-2020,2022-02-15,0.121337927
2019-2020,2022-03-15,0.101802521
2019-2020,2022-04-15,0.061081513
2020-2021,2022-10-01,0.15
2020-2021,2022-11-15,0.1269
2020-2021,2022-12-15,0.0807084
2020-2021,2022-01-15,0.069167099
2020-2021,2022-02-15,0.049385309
2020-2021,2022-03-15,0.049385309
2020-2021,2022-04-15,0.037631605
