winter,mean.tracks.pertracknight.per100km,SE,Lower 95% for graph,Upper 95% for graph,dens.estimate.per100km2
1987-1988,7.9178,0.8742,1.7178,1.7122,5.5
1988-1989,13.8549,1.2084,2.3749,2.3751,8
1989-1990,22.4002,2.3848,4.6902,4.6898,11.6
1990-1991,53.8878,4.1263,8.1078,8.1122,24.7
1991-1992,35.7962,2.8344,5.5662,5.5738,17.2
1992-1993,13.7763,1.6722,3.2863,3.2937,7.9
1993-1994,4.5733,0.9699,1.9133,1.9067,4.1
1994-1995,10.5196,2.1565,4.2396,4.2404,6.6
1995-1996,14.7920,1.8681,3.672,3.678,8.4
1996-1997,27.2506,3.8881,7.6806,7.6794,13.5871184
1997-1998,53.8660,6.9334,13.696,13.704,24.7228344
1998-1999,82.4140,8.7797,17.344,17.346,36.6673176
1999-2000,72.6751,6.3000,12.4451,12.4449,32.59252
2000-2001,2.6188,0.7244,1.4288,1.4212,3.2810896
2001-2002,2.8899,0.8322,1.6399,1.6401,3.394476
2002-2003,5.3648,1.0763,2.1248,2.1252,4.430016
2003-2004,6.3827,1.4721,2.9127,2.9073,4.8559472
2004-2005,11.4325,1.8461,3.6525,3.6475,6.9688672
2005-2006,21.5947,3.6404,7.2247,7.2253,11.220648
2006-2007,39.3630,5.4670,10.803,10.807,18.563568
2007-2008,16.2410,3.9160,7.741,7.739,8.9805344
2008-2009,21.3430,3.4530,6.823,6.827,11.1152112
2009-2010,21.9820,3.2240,6.392,6.398,11.3825688
2010-2011,15.9650,2.6210,5.205,5.205,9.210236
2011-2012,14.3100,2.6890,5.35,5.36,8.174696
2012-2013,18.7230,3.6070,7.263,7.257,10.0190032
2013-2014,16.5000,3.7890,7.93,7.93,9.0889
2014-2015,38.3400,5.9370,11.87,11.87,18.226756
2015-2016,30.9690,4.6480,9.399,9.401,15.1427296
2016-2017,59.8740,6.4240,12.844,12.846,27.2365816
2017-2018,59.6710,8.2320,18.603,16.599,27.1516464
2018-2019,28.9690,5.3810,10.889,10.891,14.3059296
2019-2020,27.6280,3.0000,5.958,5.952,15.1
2020-2021,24.4410,6.6390,13.171,13.172,11.1
2021-2022,1.9070,0.9260,1.867,1.843,3.9
