location,date_detected,snow_depth_cm,Observer,Comments
A10_4,2019-10-01 11:00,0,LGH,
A10_4,2019-10-02 11:00,0,LGH,
A10_4,2019-10-03 11:00,0,LGH,
A10_4,2019-10-04 11:00,0,LGH,
A10_4,2019-10-05 11:00,0,LGH,
A10_4,2019-10-06 11:00,2,LGH,
A10_4,2019-10-07 11:00,2,LGH,
A10_4,2019-10-08 11:00,2,LGH,
A10_4,2019-10-09 11:00,2,LGH,
A10_4,2019-10-10 11:00,2,LGH,
A10_4,2019-10-11 11:00,5,LGH,
A10_4,2019-10-12 11:00,5,LGH,
A10_4,2019-10-13 11:00,5,LGH,
A10_4,2019-10-14 11:00,5,LGH,
A10_4,2019-10-15 11:00,5,LGH,
A10_4,2019-10-16 11:00,5,LGH,
A10_4,2019-10-17 11:00,7,LGH,
A10_4,2019-10-18 11:00,7,LGH,
A10_4,2019-10-19 11:00,7,LGH,
A10_4,2019-10-20 11:00,7,LGH,
A10_4,2019-10-21 11:00,7,LGH,
A10_4,2019-10-22 11:00,7,LGH,
A10_4,2019-10-23 11:00,7,LGH,
A10_4,2019-10-24 11:00,5,LGH,
A10_4,2019-10-25 11:00,5,LGH,
A10_4,2019-10-26 11:00,5,LGH,
A10_4,2019-10-27 11:00,5,LGH,
A10_4,2019-10-28 11:00,5,LGH,
A10_4,2019-10-29 11:00,5,LGH,
A10_4,2019-10-30 11:00,5,LGH,
A10_4,2019-10-31 11:00,5,LGH,
A10_4,2019-11-01 11:00,5,LGH,
A10_4,2019-11-02 11:00,5,LGH,
A10_4,2019-11-03 11:00,5,LGH,
A10_4,2019-11-04 11:00,5,LGH,
A10_4,2019-11-05 11:00,5,LGH,
A10_4,2019-11-06 11:00,5,LGH,
A10_4,2019-11-07 11:00,5,LGH,
A10_4,2019-11-08 11:00,5,LGH,
A10_4,2019-11-09 11:00,5,LGH,
A10_4,2019-11-10 11:00,5,LGH,
A10_4,2019-11-11 11:00,5,LGH,
A10_4,2019-11-12 11:00,5,LGH,
A10_4,2019-11-13 11:00,5,LGH,
A10_4,2019-11-14 11:00,7,LGH,
A10_4,2019-11-15 11:00,7,LGH,
A10_4,2019-11-16 11:00,7,LGH,
A10_4,2019-11-17 11:00,7,LGH,
