Eartag,Sex,Weight,Hindfoot,id_grid,week,dateCap,grid
26622,1,1400,130,38,2336,18-Feb-22,Sulphur
26621,2,1350,136,38,2336,18-Feb-22,Sulphur
26342,1,1392,145,38,2336,18-Feb-22,Sulphur
26620,2,1290,130,38,2336,18-Feb-22,Sulphur
26383,1,1092,141,38,2336,18-Feb-22,Sulphur
26349,1,1512,136,63,2339,10-Mar-22,Kloo
26372,2,1510,130,63,2339,10-Mar-22,Kloo
26381,1,1340,120,63,2339,10-Mar-22,Kloo
26395,1,1310,130,63,2339,10-Mar-22,Kloo
26342,1,1362,141,38,2340,16-Mar-22,Sulphur
26620,2,1312,140,38,2340,16-Mar-22,Sulphur
26621,2,1420,135,38,2340,16-Mar-22,Sulphur
26622,1,1380,130,38,2340,16-Mar-22,Sulphur
26383,1,1262,137,38,2341,24-Mar-22,Sulphur
26448,2,1449,135,85,2335,08-Feb-22,Jo
26351,2,1350,133,85,2335,08-Feb-22,Jo
26361,2,1194,122,85,2335,08-Feb-22,Jo
26347,2,1540,135,85,2335,08-Feb-22,Jo
26623,1,1364,0,85,2336,16-Feb-22,Jo
26617,1,1333,135,85,2336,16-Feb-22,Jo
26618,1,1271,130,85,2336,16-Feb-22,Jo
26384,1,1263,129,85,2339,09-Mar-22,Jo
26619,1,1299,127,94,2339,09-Mar-22,Rolo
30821,2,1266,125,94,2335,09-Feb-22,Rolo
26348,2,1560,129,85,2297,20-May-21,Jo
26347,2,1480,134,85,2297,20-May-21,Jo
26380,1,1380,135,85,2297,20-May-21,Jo
26348,2,1480,0,85,2300,12-Jun-21,Jo
26380,1,1200,128,85,2300,12-Jun-21,Jo
26347,2,1670,0,85,2302,21-Jun-21,Jo
26348,2,1720,0,85,2302,21-Jun-21,Jo
30831,2,650,95,85,2304,07-Jul-21,Jo
26347,2,0,0,85,2304,07-Jul-21,Jo
30831,2,750,109,85,2305,17-Jul-21,Jo
26350,2,1550,128,85,2305,17-Jul-21,Jo
26347,2,1960,0,85,2308,04-Aug-21,Jo
26473,1,1160,124,34,2299,04-Jun-21,Chitty
26474,2,1460,125,34,2299,04-Jun-21,Chitty
25611,2,1700,133,34,2307,28-Jul-21,Chitty
26349,1,1350,0,38,2307,31-Jul-21,Sulphur
26349,1,1340,136,63,2297,19-May-21,Kloo
26350,2,1680,0,63,2297,19-May-21,Kloo
26350,2,1500,0,63,2298,27-May-21,Kloo
26349,1,1230,135,63,2298,27-May-21,Kloo
26349,1,1330,0,63,2301,18-Jun-21,Kloo
26350,2,1750,0,63,2301,18-Jun-21,Kloo
26372,2,1470,0,63,2306,23-Jul-21,Kloo
26350,2,1640,0,63,2306,23-Jul-21,Kloo
26389,1,450,0,63,2306,23-Jul-21,Kloo
26388,2,350,79,63,2306,23-Jul-21,Kloo
26387,2,450,83,63,2306,23-Jul-21,Kloo
2937,2,1310,128,34,1926,11-Apr-14,Chitty
