Bunny ID,GRID,GPS ,Date GPS On,Time GPS On,GPS Schedule,GPS Delay,Date on Bunny,Time on Bunny,Date Off Bunny,Time off Bunny,Date GPS OFF,Time GPS Off
23622,Jo,MI,26-Sep-15,18:57:06,30,12 HRS,28-Sep-15,1:24,30-Dec-15,20:42,05-Jan-16,already turned off
23620,Jo,MB,26-Sep-15,18:42:57,30,12 HRS,28-Sep-15,0:00,01-Jan-15,~14:00,05-Jan-16,already off
23617,Jo,MA,26-Sep-15,18:46:16,30,12 HRS,28-Sep-15,0:10,08-Oct-15,0:38,21-Oct-15,14:51:03
23307,Jo,MF,26-Sep-15,20:54:34,30,12 HRS,28-Sep-15,23:32,08-Oct-15,0:02,19-Oct-15,11:31:25
23694,Jo,MC,26-Sep-15,18:44:18,30,12 HRS,01-Oct-15,1:24,08-Oct-15,0:20,21-Oct-15,14:13:12
23691,Jo,MD,27-Sep-15,15:08:49,30,12 HRS,01-Oct-15,1:25,08-Oct-15,0:15,21-Oct-15,13:10:07
23683,Jo,MJ,26-Sep-15,18:59:08,30,12 HRS,01-Oct-15,1:02,08-Dec-15,~13:00,30-Dec-15,battery dead
23682,Jo,MH,30-Sep-15,16:48:33,30,12 HRS,01-Oct-15,0:23,29-Jan-16,21:07,01-Feb-16,Already turned off
23668,Jo,ME,26-Sep-15,18:48:27,30,12 HRS,01-Oct-15,0:15,09-Nov-15,22:09,26-Nov-15,Already turned off
23621,Jo,MG,26-Sep-15,18:52:22,30,12 HRS,01-Oct-15,0:08,08-Oct-15,1:49,21-Oct-15,11:10:40
23625,Jo,MK,30-Sep-15,14:06:07,30,12 HRS,02-Oct-15,0:32,08-Jan-16,~14:00,01-Feb-16,battery dead
23694,Jo,MQ,06-Oct-15,17:36:30,30,12 HRS,08-Oct-15,0:20,30-Dec-15,20:51,05-Jan-16,Already turned off
23691,Jo,MM,07-Oct-15,12:54:49,30,12 HRS,08-Oct-15,0:15,13-Oct-15,~19:00,19-Oct-15,GPS not working
23689,Jo,MS,07-Oct-15,16:40:12,30,12 HRS,08-Oct-15,0:04,12-Feb-16,~14:00,16-Feb-16,Already turned off
23637,Jo,MT,07-Oct-15,16:43:07,30,12 HRS,08-Oct-15,0:13,17-Nov-15,~14:00,26-Nov-15,Already turned off
23621,Jo,MU,07-Oct-15,16:46:38,30,12 HRS,08-Oct-15,1:49,,,,
23617,Jo,MO,06-Oct-15,17:04:35,30,12 HRS,08-Oct-15,0:38,30-Dec-15,22:37,01-Feb-16,Already off
23616,Jo,MV,07-Oct-15,16:49:06,30,12 HRS,08-Oct-15,1:28,08-Feb-16,~14:00,16-Feb-16,Already turned off
23612,Jo,MN,07-Oct-15,15:28:22,30,12 HRS,08-Oct-15,0:30,,,,
23602,Jo,MR,06-Oct-15,17:57:22,30,12 HRS,08-Oct-15,1:16,19-Dec-15,~14:00,30-Dec-15,Already turned off
23307,Jo,MP,06-Oct-15,17:18:49,30,12 HRS,08-Oct-15,0:02,21-Oct-15,22:39,25-Nov-15,Already turned off
22869,Jo,ML,07-Oct-15,15:42:57,30,12 HRS,08-Oct-15,1:20,,,28-Nov-15,wires were cut
23687,Jo,MY,13-Oct-15,17:49:21,30,12 HRS,14-Oct-15,0:50,,,28-Nov-15,broken device
23684,Jo,MW,13-Oct-15,17:44:23,30,12 HRS,14-Oct-15,1:41,30-Dec-15,21:10,05-Jan-16,Already turned off
23677,Jo,MX,13-Oct-15,17:46:14,30,12 HRS,14-Oct-15,2:22,07-Jan-16,~14:00,01-Feb-16,already off
23641,Jo,NA,13-Oct-15,17:54:35,30,12 HRS,14-Oct-15,2:45,30-Dec-15,22:10,05-Jan-16,already turned off
