"","Winter","Mean","Median","Standard deviation","N"
"1","2018-2019",0.157,0.002,0.249,32
"2","2018-2019",0.157,0.002,0.249,32
"3","2018-2019",0.157,0.002,0.249,32
"4","2018-2019",0.157,0.002,0.249,32
"5","2018-2019",0.157,0.002,0.249,32
"6","2018-2019",0.157,0.002,0.249,32
"7","2018-2019",0.157,0.002,0.249,32
"8","2018-2019",0.157,0.002,0.249,32
"9","2018-2019",0.157,0.002,0.249,32
"10","2018-2019",0.157,0.002,0.249,32
"11","2018-2019",0.157,0.002,0.249,32
"12","2018-2019",0.157,0.002,0.249,32
"13","2018-2019",0.157,0.002,0.249,32
"14","2018-2019",0.157,0.002,0.249,32
"15","2018-2019",0.157,0.002,0.249,32
"16","2018-2019",0.157,0.002,0.249,32
"17","2018-2019",0.157,0.002,0.249,32
"18","2018-2019",0.157,0.002,0.249,32
"19","2018-2019",0.157,0.002,0.249,32
"20","2018-2019",0.157,0.002,0.249,32
"21","2018-2019",0.157,0.002,0.249,32
"22","2018-2019",0.157,0.002,0.249,32
"23","2018-2019",0.157,0.002,0.249,32
"24","2018-2019",0.157,0.002,0.249,32
"25","2018-2019",0.157,0.002,0.249,32
"26","2018-2019",0.157,0.002,0.249,32
"27","2018-2019",0.157,0.002,0.249,32
"28","2018-2019",0.157,0.002,0.249,32
"29","2018-2019",0.157,0.002,0.249,32
"30","2018-2019",0.157,0.002,0.249,32
"31","2018-2019",0.157,0.002,0.249,32
"32","2018-2019",0.157,0.002,0.249,32
"33","2018-2019",0.157,0.002,0.249,32
"34","2018-2019",0.157,0.002,0.249,32
"35","2018-2019",0.157,0.002,0.249,32
"36","2018-2019",0.157,0.002,0.249,32
"37","2018-2019",0.157,0.002,0.249,32
"38","2018-2019",0.157,0.002,0.249,32
"39","2018-2019",0.157,0.002,0.249,32
"40","2018-2019",0.157,0.002,0.249,32
"41","2018-2019",0.157,0.002,0.249,32
"42","2018-2019",0.157,0.002,0.249,32
"43","2018-2019",0.157,0.002,0.249,32
"44","2018-2019",0.157,0.002,0.249,32
"45","2018-2019",0.157,0.002,0.249,32
"46","2018-2019",0.157,0.002,0.249,32
"47","2018-2019",0.157,0.002,0.249,32
"48","2018-2019",0.157,0.002,0.249,32
"49","2018-2019",0.157,0.002,0.249,32
"50","2018-2019",0.157,0.002,0.249,32
"51","2018-2019",0.157,0.002,0.249,32
"52","2018-2019",0.157,0.002,0.249,32
"53","2018-2019",0.157,0.002,0.249,32
"54","2018-2019",0.157,0.002,0.249,32
"55","2018-2019",0.157,0.002,0.249,32
"56","2018-2019",0.157,0.002,0.249,32
"57","2018-2019",0.157,0.002,0.249,32
"58","2018-2019",0.157,0.002,0.249,32
"59","2018-2019",0.157,0.002,0.249,32
"60","2018-2019",0.157,0.002,0.249,32
"61","2018-2019",0.157,0.002,0.249,32
"62","2018-2019",0.157,0.002,0.249,32
"63","2018-2019",0.157,0.002,0.249,32
"64","2018-2019",0.157,0.002,0.249,32
"65","2018-2019",0.157,0.002,0.249,32
"66","2018-2019",0.157,0.002,0.249,32
"67","2018-2019",0.157,0.002,0.249,32
"68","2018-2019",0.157,0.002,0.249,32
"69","2018-2019",0.157,0.002,0.249,32
"70","2018-2019",0.157,0.002,0.249,32
"71","2018-2019",0.157,0.002,0.249,32
"72","2018-2019",0.157,0.002,0.249,32
"73","2018-2019",0.157,0.002,0.249,32
"74","2018-2019",0.157,0.002,0.249,32
"75","2018-2019",0.157,0.002,0.249,32
"76","2018-2019",0.157,0.002,0.249,32
"77","2018-2019",0.157,0.002,0.249,32
"78","2018-2019",0.157,0.002,0.249,32
"79","2018-2019",0.157,0.002,0.249,32
"80","2018-2019",0.157,0.002,0.249,32
"81","2018-2019",0.157,0.002,0.249,32
"82","2018-2019",0.157,0.002,0.249,32
"83","2018-2019",0.157,0.002,0.249,32
"84","2018-2019",0.157,0.002,0.249,32
"85","2018-2019",0.157,0.002,0.249,32
"86","2018-2019",0.157,0.002,0.249,32
"87","2018-2019",0.157,0.002,0.249,32
"88","2018-2019",0.157,0.002,0.249,32
"89","2018-2019",0.157,0.002,0.249,32
"90","2018-2019",0.157,0.002,0.249,32
"91","2018-2019",0.157,0.002,0.249,32
"92","2018-2019",0.157,0.002,0.249,32
"93","2018-2019",0.157,0.002,0.249,32
"94","2018-2019",0.157,0.002,0.249,32
"95","2018-2019",0.157,0.002,0.249,32
"96","2018-2019",0.157,0.002,0.249,32
"97","2018-2019",0.157,0.002,0.249,32
"98","2018-2019",0.157,0.002,0.249,32
"99","2018-2019",0.157,0.002,0.249,32
"100","2018-2019",0.157,0.002,0.249,32
"101","2018-2019",0.157,0.002,0.249,32
"102","2018-2019",0.157,0.002,0.249,32
"103","2018-2019",0.157,0.002,0.249,32
"104","2018-2019",0.157,0.002,0.249,32
"105","2018-2019",0.157,0.002,0.249,32
"106","2018-2019",0.157,0.002,0.249,32
"107","2018-2019",0.157,0.002,0.249,32
"108","2018-2019",0.157,0.002,0.249,32
"109","2018-2019",0.157,0.002,0.249,32
"110","2018-2019",0.157,0.002,0.249,32
"111","2018-2019",0.157,0.002,0.249,32
"112","2018-2019",0.157,0.002,0.249,32
"113","2018-2019",0.157,0.002,0.249,32
"114","2018-2019",0.157,0.002,0.249,32
"115","2018-2019",0.157,0.002,0.249,32
"116","2018-2019",0.157,0.002,0.249,32
"117","2018-2019",0.157,0.002,0.249,32
"118","2018-2019",0.157,0.002,0.249,32
"119","2018-2019",0.157,0.002,0.249,32
"120","2018-2019",0.157,0.002,0.249,32
"121","2018-2019",0.157,0.002,0.249,32
"122","2018-2019",0.157,0.002,0.249,32
"123","2018-2019",0.157,0.002,0.249,32
"124","2018-2019",0.157,0.002,0.249,32
"125","2018-2019",0.157,0.002,0.249,32
"126","2018-2019",0.157,0.002,0.249,32
"127","2018-2019",0.157,0.002,0.249,32
"128","2018-2019",0.157,0.002,0.249,32
"129","2018-2019",0.157,0.002,0.249,32
"130","2018-2019",0.157,0.002,0.249,32
"131","2018-2019",0.157,0.002,0.249,32
"132","2018-2019",0.157,0.002,0.249,32
"133","2018-2019",0.157,0.002,0.249,32
"134","2018-2019",0.157,0.002,0.249,32
"135","2018-2019",0.157,0.002,0.249,32
"136","2018-2019",0.157,0.002,0.249,32
"137","2018-2019",0.157,0.002,0.249,32
"138","2018-2019",0.157,0.002,0.249,32
"139","2018-2019",0.157,0.002,0.249,32
"140","2018-2019",0.157,0.002,0.249,32
"141","2018-2019",0.157,0.002,0.249,32
"142","2018-2019",0.157,0.002,0.249,32
"143","2018-2019",0.157,0.002,0.249,32
"144","2018-2019",0.157,0.002,0.249,32
"145","2018-2019",0.157,0.002,0.249,32
"146","2018-2019",0.157,0.002,0.249,32
"147","2018-2019",0.157,0.002,0.249,32
"148","2018-2019",0.157,0.002,0.249,32
"149","2018-2019",0.157,0.002,0.249,32
"150","2018-2019",0.157,0.002,0.249,32
"151","2018-2019",0.157,0.002,0.249,32
"152","2018-2019",0.157,0.002,0.249,32
"153","2018-2019",0.157,0.002,0.249,32
"154","2018-2019",0.157,0.002,0.249,32
"155","2018-2019",0.157,0.002,0.249,32
"156","2019-2020",0.076,0.009,0.117,8
"157","2019-2020",0.076,0.009,0.117,8
"158","2019-2020",0.076,0.009,0.117,8
"159","2019-2020",0.076,0.009,0.117,8
"160","2019-2020",0.076,0.009,0.117,8
"161","2019-2020",0.076,0.009,0.117,8
"162","2019-2020",0.076,0.009,0.117,8
"163","2019-2020",0.076,0.009,0.117,8
"164","2019-2020",0.076,0.009,0.117,8
"165","2019-2020",0.076,0.009,0.117,8
"166","2019-2020",0.076,0.009,0.117,8
"167","2019-2020",0.076,0.009,0.117,8
"168","2019-2020",0.076,0.009,0.117,8
"169","2019-2020",0.076,0.009,0.117,8
"170","2019-2020",0.076,0.009,0.117,8
"171","2019-2020",0.076,0.009,0.117,8
"172","2019-2020",0.076,0.009,0.117,8
"173","2019-2020",0.076,0.009,0.117,8
"174","2019-2020",0.076,0.009,0.117,8
"175","2019-2020",0.076,0.009,0.117,8
"176","2019-2020",0.076,0.009,0.117,8
"177","2019-2020",0.076,0.009,0.117,8
"178","2019-2020",0.076,0.009,0.117,8
"179","2019-2020",0.076,0.009,0.117,8
